PUMA,no_int_access,se
100,0.06275401449481313,0.018227614407198982
200,0.20211153504416454,0.054170350283979506
300,0.28395489168068055,0.03962569232101163
400,0.12104843708491986,0.02490697060971078
500,0.007654021498180601,0.0076255634309862486
600,0.1639344262295082,0.046923534747214966
700,0.2587666263603386,0.05019770193633905
800,0.10370057689601801,0.024440516759185477
900,0.21063071998557323,0.03909371577212052
1000,0.13231029482841952,0.029251491425126414
1100,0.07466630834005196,0.01876126178115787
1200,0.039290075004360714,0.018942171421694614
1300,0.08308446025301164,0.024497778086703448
1400,0.18470786246693915,0.03907872660462127
1500,0.04923869758725696,0.019005411708386797
1600,0.042509380433787866,0.01785713463386223
1701,0.05690705443112595,0.02058475857391374
1702,0.031894418476766564,0.022734807927469014
1703,0.008807829181494663,0.005096918042236891
1704,0.02441318568557869,0.010407102629902255
1705,0.004750092362907057,0.004754079336343375
1706,0.024526782118405154,0.012700956566902346
1800,0.07661038148843027,0.03224636162472596
1901,0.044274809160305344,0.019019822980888973
1902,0.0030414746543778797,0.0030401599762971345
2000,0.018496755403402995,0.011551129762511339
2100,0.0887589572251286,0.032900972300900555
2200,0.13980052145842817,0.03038897356329254
2300,0.04721842041703567,0.015864946863411205
2400,0.03266398929049531,0.014255053973460654
2500,0.02698563197432718,0.017419911665221163
2600,0.07187100249107925,0.017728570415464866
2700,0.0874335741866422,0.01987210654168764
2800,0.1177243073794798,0.03161205601242234
